,0
143,"https://openalex.org/W3115283966,https://openalex.org/W3014468003"
144,"https://openalex.org/W3176999192,https://openalex.org/W2946882019,https://openalex.org/W2979313052,https://openalex.org/W3021847024,https://openalex.org/W3025350942,https://openalex.org/W3087082481,https://openalex.org/W3113271689"
145,"https://openalex.org/W3210357596,https://openalex.org/W2966779994,https://openalex.org/W2969409037,https://openalex.org/W3010320765"
146,"https://openalex.org/W3133591723,https://openalex.org/W3133591723"
147,"https://openalex.org/W3143753519,https://openalex.org/W2916772745,https://openalex.org/W2979974660"
148,"https://openalex.org/W3102903231,https://openalex.org/W2986457312"
149,https://openalex.org/W3113607867
150,"https://openalex.org/W3173600084,https://openalex.org/W2983176051"
151,"https://openalex.org/W3037645259,https://openalex.org/W2909757739,https://openalex.org/W2937370581,https://openalex.org/W3019005275,https://openalex.org/W3046506912"
152,"https://openalex.org/W3132648567,https://openalex.org/W2910999906"
153,"https://openalex.org/W3197752646,https://openalex.org/W2972677741"
154,"https://openalex.org/W3186716410,https://openalex.org/W2954071775"
155,https://openalex.org/W3113010102
156,"https://openalex.org/W3129183288,https://openalex.org/W3009488696,https://openalex.org/W3011282527"
157,"https://openalex.org/W4210467110,https://openalex.org/W2969940692,https://openalex.org/W3011282527,https://openalex.org/W3048728830,https://openalex.org/W3092794615"
158,https://openalex.org/W4229458598
159,"https://openalex.org/W4283756678,https://openalex.org/W2907579884,https://openalex.org/W3113715623,https://openalex.org/W4283756678"
160,"https://openalex.org/W4308574231,https://openalex.org/W2903180922,https://openalex.org/W2911714071,https://openalex.org/W2935296577,https://openalex.org/W2954230468,https://openalex.org/W2963222380,https://openalex.org/W2981919366,https://openalex.org/W2997824651,https://openalex.org/W3005797509,https://openalex.org/W3006792783,https://openalex.org/W3094601717,https://openalex.org/W3114732080,https://openalex.org/W3115545262,https://openalex.org/W3120092772,https://openalex.org/W3138019207,https://openalex.org/W3165227072,https://openalex.org/W3210947312,https://openalex.org/W4205686489,https://openalex.org/W4214620873,https://openalex.org/W4220661332,https://openalex.org/W4220674213,https://openalex.org/W4226362418,https://openalex.org/W4297359538"
161,"https://openalex.org/W4210504853,https://openalex.org/W2964656229,https://openalex.org/W2996159033,https://openalex.org/W3002965811"
162,"https://openalex.org/W4306411802,https://openalex.org/W3094588389,https://openalex.org/W3096500206,https://openalex.org/W3114777749,https://openalex.org/W3154366515"
163,https://openalex.org/W4205217389
164,"https://openalex.org/W4213114177,https://openalex.org/W2904118025,https://openalex.org/W2938575554,https://openalex.org/W2943796112,https://openalex.org/W2981769058,https://openalex.org/W2996391880,https://openalex.org/W3000154276,https://openalex.org/W3006381007,https://openalex.org/W3014326022,https://openalex.org/W3117857085,https://openalex.org/W4384119545"
165,"https://openalex.org/W3119555633,https://openalex.org/W3088538572,https://openalex.org/W3092026988,https://openalex.org/W3099909056"
166,"https://openalex.org/W4293702864,https://openalex.org/W2986457312,https://openalex.org/W2989857225,https://openalex.org/W3092026988,https://openalex.org/W3140862400"
167,"https://openalex.org/W4205704347,https://openalex.org/W3003930928,https://openalex.org/W3082058908,https://openalex.org/W3188169536"
168,"https://openalex.org/W4282979322,https://openalex.org/W2903120526,https://openalex.org/W2946597920,https://openalex.org/W2990946414,https://openalex.org/W3019618788,https://openalex.org/W3033557611,https://openalex.org/W3152909202,https://openalex.org/W3211023341"
169,https://openalex.org/W4295960184
170,"https://openalex.org/W4200391204,https://openalex.org/W3024213409,https://openalex.org/W3038687758"
171,https://openalex.org/W4285011958
172,"https://openalex.org/W4229451924,https://openalex.org/W4200391204"
173,https://openalex.org/W4285011934
174,https://openalex.org/W4226428025
175,"https://openalex.org/W4280556630,https://openalex.org/W2944607176,https://openalex.org/W2999944371,https://openalex.org/W3164545656"
176,https://openalex.org/W4296344389
177,"https://openalex.org/W4205687623,https://openalex.org/W2907976315,https://openalex.org/W3017164541,https://openalex.org/W3111894231"
178,"https://openalex.org/W4224229443,https://openalex.org/W2996012742,https://openalex.org/W3001070448,https://openalex.org/W3140862400,https://openalex.org/W3183793762"
179,"https://openalex.org/W4320039773,https://openalex.org/W2966029977,https://openalex.org/W2997146250,https://openalex.org/W3011725748,https://openalex.org/W3115283966,https://openalex.org/W3203109286"
180,"https://openalex.org/W4368363271,https://openalex.org/W4200262633,https://openalex.org/W4220956361"
181,"https://openalex.org/W4387827304,https://openalex.org/W2935961336,https://openalex.org/W2969659394,https://openalex.org/W3024645822,https://openalex.org/W3167857565,https://openalex.org/W4296344374"
182,"https://openalex.org/W4308574358,https://openalex.org/W4306658477"
183,"https://openalex.org/W4360938413,https://openalex.org/W2904758662,https://openalex.org/W3087285974,https://openalex.org/W3094355325,https://openalex.org/W4214572712"
184,"https://openalex.org/W4367837771,https://openalex.org/W3021324401"
185,https://openalex.org/W4387131402
186,https://openalex.org/W4312130838
187,"https://openalex.org/W4317616015,https://openalex.org/W4205687623"
188,"https://openalex.org/W4317860835,https://openalex.org/W2998910704,https://openalex.org/W3003930928,https://openalex.org/W3082058908,https://openalex.org/W3159834390,https://openalex.org/W3188169536,https://openalex.org/W4205704347"
189,"https://openalex.org/W4321617482,https://openalex.org/W3200178476"
190,"https://openalex.org/W4365597381,https://openalex.org/W3183859964,https://openalex.org/W4283756678"
191,"https://openalex.org/W4390607537,https://openalex.org/W2983040708,https://openalex.org/W3110648948,https://openalex.org/W3128150297"
192,"https://openalex.org/W4390659551,https://openalex.org/W2982820684,https://openalex.org/W3096500206,https://openalex.org/W3114777749,https://openalex.org/W3154366515,https://openalex.org/W4306411802,https://openalex.org/W4386917061,https://openalex.org/W4387187656,https://openalex.org/W4388521730"
193,"https://openalex.org/W4391479301,https://openalex.org/W2920829711,https://openalex.org/W3004180945,https://openalex.org/W3039843469,https://openalex.org/W3207575427,https://openalex.org/W3211739027,https://openalex.org/W4214887011,https://openalex.org/W4306174501,https://openalex.org/W4313458849"
194,"https://openalex.org/W4391147005,https://openalex.org/W3005754778,https://openalex.org/W3018429123"
195,https://openalex.org/W2917321373
196,https://openalex.org/W2960761429
197,https://openalex.org/W2936111152
198,https://openalex.org/W2948959486
199,"https://openalex.org/W2980681842,https://openalex.org/W2907918932"
200,https://openalex.org/W2904668855
201,https://openalex.org/W2950905533
202,https://openalex.org/W2913334831
203,https://openalex.org/W2915613474
204,https://openalex.org/W2916328238
205,https://openalex.org/W2938103156
206,https://openalex.org/W2905250209
207,https://openalex.org/W2906805418
208,https://openalex.org/W2945639090
209,"https://openalex.org/W2946613441,https://openalex.org/W2946613441"
210,https://openalex.org/W2966779994
211,https://openalex.org/W2980094837
212,https://openalex.org/W2902269458
213,https://openalex.org/W2904118025
214,https://openalex.org/W2911714071
215,https://openalex.org/W2912539592
216,https://openalex.org/W2915831883
217,https://openalex.org/W2964475014
218,https://openalex.org/W3006177262
219,"https://openalex.org/W3033607704,https://openalex.org/W2921562861"
220,https://openalex.org/W2914124298
221,"https://openalex.org/W3048654665,https://openalex.org/W2997699993"
222,"https://openalex.org/W3082058908,https://openalex.org/W2954206231,https://openalex.org/W2999944371"
223,https://openalex.org/W2899640362
224,https://openalex.org/W2926423010
225,"https://openalex.org/W2937881047,https://openalex.org/W2913458382"
226,https://openalex.org/W2946016901
227,https://openalex.org/W2953791169
228,https://openalex.org/W2969878846
229,"https://openalex.org/W3002959874,https://openalex.org/W2908760253"
230,https://openalex.org/W2908530998
231,https://openalex.org/W2928811959
232,https://openalex.org/W2951246382
233,https://openalex.org/W2970825688
234,https://openalex.org/W2981734627
235,https://openalex.org/W3007718174
236,"https://openalex.org/W3021324401,https://openalex.org/W2998465363"
237,https://openalex.org/W3034091908
238,https://openalex.org/W2909287884
239,https://openalex.org/W2921235872
240,https://openalex.org/W2921562861
241,https://openalex.org/W2939865695
242,"https://openalex.org/W2969708114,https://openalex.org/W2921675067"
243,"https://openalex.org/W2986594135,https://openalex.org/W2946287558"
244,"https://openalex.org/W3009690168,https://openalex.org/W2923323971"
245,"https://openalex.org/W3023395660,https://openalex.org/W2914828997,https://openalex.org/W2964930724"
246,"https://openalex.org/W2909942901,https://openalex.org/W2909942901"
247,https://openalex.org/W2963475465
248,"https://openalex.org/W2970655940,https://openalex.org/W2963255299"
249,"https://openalex.org/W3017083026,https://openalex.org/W2924799270"
250,https://openalex.org/W2899521792
251,https://openalex.org/W2913458382
252,https://openalex.org/W2914216909
253,https://openalex.org/W2916335141
254,https://openalex.org/W2932511276
255,"https://openalex.org/W2979964339,https://openalex.org/W2904758662"
256,"https://openalex.org/W2983040708,https://openalex.org/W2914828997,https://openalex.org/W2946882019"
257,https://openalex.org/W2996525214
258,"https://openalex.org/W3088729600,https://openalex.org/W3088729600"
259,https://openalex.org/W2944253100
260,"https://openalex.org/W2944865547,https://openalex.org/W2905314874,https://openalex.org/W2926423010"
261,https://openalex.org/W2965642610
262,https://openalex.org/W2969738668
263,"https://openalex.org/W2994738938,https://openalex.org/W2969940692"
264,"https://openalex.org/W2995320610,https://openalex.org/W2908618745"
265,https://openalex.org/W2953145625
266,https://openalex.org/W2955549366
267,https://openalex.org/W2972654766
268,https://openalex.org/W2999944371
269,https://openalex.org/W3033034981
270,"https://openalex.org/W3094122424,https://openalex.org/W3033607704"
271,"https://openalex.org/W3009145004,https://openalex.org/W2973151912,https://openalex.org/W2997258543,https://openalex.org/W3009321916"
272,"https://openalex.org/W3085573272,https://openalex.org/W3085573272"
273,https://openalex.org/W3087031736
274,https://openalex.org/W3090994590
275,https://openalex.org/W3092272377
276,https://openalex.org/W3013434849
277,https://openalex.org/W3020512054
278,"https://openalex.org/W3028586297,https://openalex.org/W2908530998,https://openalex.org/W2966779994,https://openalex.org/W2969878846,https://openalex.org/W2981746872,https://openalex.org/W3011282527"
279,"https://openalex.org/W3036218244,https://openalex.org/W2935296577,https://openalex.org/W2963222380"
280,https://openalex.org/W3047493008
281,"https://openalex.org/W3016947361,https://openalex.org/W2946287558,https://openalex.org/W2946597920,https://openalex.org/W2954401591,https://openalex.org/W3003808023"
282,"https://openalex.org/W3017161625,https://openalex.org/W2948959486"
283,"https://openalex.org/W3046506912,https://openalex.org/W2909757739,https://openalex.org/W2917321373,https://openalex.org/W2937370581,https://openalex.org/W2939865695"
284,"https://openalex.org/W3094153373,https://openalex.org/W2904871291,https://openalex.org/W2916772745,https://openalex.org/W2920891929"
285,https://openalex.org/W2999751404
286,https://openalex.org/W3037267344
287,https://openalex.org/W3043282123
288,"https://openalex.org/W3049430532,https://openalex.org/W2911667582,https://openalex.org/W2951246382,https://openalex.org/W3025861177"
